subgroup,value
1,12.0
1,12.0022
1,11.9979
1,11.9933
1,11.9966
2,11.9926
2,12.0005
2,12.0101
2,11.9963
2,11.9953
3,12.0037
3,12.0027
3,12.0008
3,11.993
3,11.9998
4,12.0052
4,11.9899
4,11.9966
4,11.9857
4,11.9903
5,11.9862
5,11.9982
5,11.9905
5,12.002
5,12.0012
6,11.9986
6,11.9811
6,11.996
6,11.9996
6,12.0008
7,11.9885
7,11.9964
7,11.9927
7,11.9939
7,12.008
8,11.9939
8,11.9998
8,12.0066
8,11.9956
8,11.9992
9,12.0008
9,12.0005
9,11.9908
9,12.0006
9,12.0102
10,11.9884
10,12.0064
10,12.0009
10,11.9952
10,12.015
11,12.0057
11,11.991
11,12.0006
11,12.0043
11,11.9986
12,12.0051
12,11.9995
12,12.005
12,12.0108
12,11.9949
13,12.0015
13,11.9965
13,12.001
13,11.9911
13,11.9957
14,11.9985
14,12.0067
14,12.0086
14,11.9901
14,11.994
15,12.0049
15,11.9851
15,11.9965
15,11.9993
15,12.0094
16,12.0052
16,11.9975
16,11.9972
16,11.9981
16,12.0114
17,11.9968
17,11.9977
17,12.0026
17,11.9991
17,11.9985
18,12.0061
18,12.0144
18,12.0112
18,12.0232
18,12.0194
19,12.0128
19,12.018
19,12.0105
19,12.0209
19,12.013
20,12.0044
20,11.9903
20,12.0026
20,11.9873
20,11.9847
21,11.9977
21,11.9933
21,12.0012
21,12.0168
21,11.9938
22,11.9953
22,12.0015
22,12.0037
22,11.9987
22,11.9985
23,12.0053
23,12.0039
23,11.9922
23,11.9994
23,12.0003
24,11.9921
24,12.0019
24,11.9936
24,12.0073
24,12.0014
25,12.0007
25,11.9956
25,11.9991
25,11.985
25,11.9915
